Keywords,Utterances,Responses
"Greeting, Hi, Hello, Hey, Yo, Greetings, Morning, Evening","Hi, Is anyone there?, Hello Lumine",Hello! Welcome to Lumine. How can I help you find something special today?
"Catalog, Shop, Browse, Inventory, Collection, Items, Stock, List","What do you sell?, Show me the clothes, Jewelry list",Lumine offers a curated collection of premium clothing and accessories. You can browse our full catalog here: [Link].
"New, Arrivals, Latest, Recent, Drops, Fresh, Release, Modern","What's new?, Latest drops, Recent collection",Fresh styles just landed at Lumine! Check out our newest additions here: [Link].
"Size, Sizing, Fit, Measurements, Chart, Large, Small, Medium, Guide","Size chart, Does it fit true to size?, Measurements","To find your perfect fit, please refer to the Lumine size guide located on each product page or here: [Link]."
"Material, Fabric, Metal, Gold, Silver, Cotton, Polyester, Quality","What fabric is this?, Is it gold plated?, Material info","At Lumine, we prioritize quality. Our clothes use premium fabrics and our jewelry is designed for durability. Details are on every product page."
"Restock, Available, Back, Waiting, Notify, Sold Out, Stocked","When will it be back?, Out of stock, Notify me when back",Some Lumine items go fast! Sign up for 'Back in Stock' alerts on the product page to be the first to know when it returns.
"Care, Wash, Cleaning, Laundry, Maintenance, Polish, Dirty","How to wash, Cleaning jewelry, Laundry tips","To keep your Lumine items looking new, we recommend cold washes for clothes and keeping jewelry away from harsh chemicals."
"Price, Cost, Amount, Expensive, Cheap, Pricing, Value, Fee","How much?, Price range, What is the cost?",Our prices vary by collection. You can filter the Lumine shop by price to find something that fits your budget.
"Discount, Promo, Sale, Coupon, Offer, Deal, Cheap, Markdown","Promo codes, Any sales?, Is there a discount?",We love a good deal! Check our 'Sale' section or subscribe to the Lumine newsletter for exclusive offers.
"First, Welcome, Newbie, Signup, Join, Starter, Beginner","New customer, First time buyer, Welcome gift",Welcome to Lumine! Use code LUMINE10 at checkout for a special discount on your first purchase.
"Shipping, Delivery, Courier, Postage, Transport, Send, Mail","Delivery fee, Is shipping free?, Postage costs",We offer standard and express shipping. Orders over [Amount] qualify for free shipping!
"Time, Duration, Arrival, When, Days, Wait, Schedule, Date","How long for delivery?, When will it arrive?",Standard shipping usually takes 3-5 business days. You'll receive a tracking link as soon as your Lumine order leaves our warehouse.
"Global, International, Abroad, Overseas, Worldwide, Export, Country","Do you ship abroad?, Global shipping, Overseas","Yes, Lumine ships to many countries worldwide! Shipping rates and times will be calculated at checkout."
"Track, Status, Package, Parcel, Where, Progress, Location","Where is my order?, Track package, Order status",You can track your Lumine journey! Enter your order number here: [Link to Tracking Page].
